Text                     ,HR                       ,"Veloc, Vento",Pisc_scobert,Pisc_scobert_50m2,50m2_Ts_colect   ,PavCol_scobert,Pisc_ccobert_50m2
10.21875,95.1875,0.001,20.69602268,16.46474212,17.60199105,15.5502638,17.94484745
11.0875,92.375,0.001,20.910605,16.42626773,17.55548038,15.51531332,17.90049184
11.9875,89.375,0.001,21.34097585,16.40088255,16.81577777,15.48930661,17.86672256
12.975,85.9375,0.001,21.72990804,16.3772459,16.76294956,15.46509348,17.83568438
13.975,82.4375,0.001,21.88074037,16.36399967,16.97649222,15.44843929,17.81502543
14.8875,78.9375,0.001,21.76080141,16.35305728,16.96458499,15.43385625,17.7969527
15.7875,75.4375,0.001,21.46759932,16.34908003,17.1036716,15.42440915,17.78590435
16.425,73.25,0.001,21.14372241,16.34659182,17.08722013,15.41637376,17.7766475
17.025,71.25,0.001,15.41334892,16.34678388,17.12896897,15.41045701,17.77015715
17.31875,70.125,0.001,15.40776264,16.34709186,17.09276345,15.40488161,17.76407345
17.56875,69.125,0.001,15.40103299,16.34558406,17.03647915,15.39816282,17.75624716
17.55625,69,0.001,15.39357271,16.34285708,16.98022025,15.39071334,17.74744354
17.50625,69,0.001,15.38253601,16.33499473,16.85148358,15.37968743,17.73352683
17.4125,69.4375,0.001,15.37034158,16.3253773,16.78534428,15.36750375,17.71802408
17.3125,69.9375,0.001,15.35376858,16.30947144,16.62499475,15.35094146,17.69619031
17.125,70.4375,0.001,15.33590899,16.29166421,16.55072511,15.33309255,17.67259711
16.925,70.9375,0.001,15.31359472,16.26568444,17.80380877,15.31078894,17.64116088
16.68125,71.4375,0.001,15.29039832,16.23883886,17.3475876,15.28760314,17.60888447
16.43125,71.9375,0.001,15.26491239,16.20972014,16.43125,15.26212779,17.57436063
16.1375,73.3125,0.001,15.23885672,16.18004812,16.1375,15.23608265,17.53930926
15.8375,74.8125,0.001,15.21249965,16.1500911,15.8375,15.20973607,17.50399857
15.49375,75.875,0.001,15.18563735,16.11964517,15.49375,15.18288421,17.46822455
15.14375,76.875,0.001,15.15807028,16.08851077,15.14375,15.15532753,17.43178758
14.75,78.3125,0.001,15.12978593,16.05667538,14.75,15.12705353,17.39467509
14.35,79.8125,0.001,15.1007643,16.02411897,14.35,15.0980422,17.36350165
13.95,80.875,0.001,15.07090125,15.99073737,13.95,15.0681894,17.35165484
